Санкт-Петербург;spb;59.9948658647,30.2096557617
Раменское;ramenskoe;55.565449,38.236851
Радужный;raduzhnyy;56.004391,40.33894
Романовская;romanovskaya;47.541531,42.029369
Рославль;roslavl;53.951031,32.864399
Россошь;rossosh;50.204361,39.5387
Ростов;rostov;57.19912,39.450359
Ростов-на-Дону;rostov-na-donu;47.233189,39.715
Родионово-Несветайская;rodionovo-nesvetayskaya;47.612862,39.706558
Рубцовск;rubtsovsk;51.52113,81.202713
Руза;ruza;55.697941,36.203419
Рузаевка;ruzaevka;54.061378,44.959679
Румянцево;rumyantsevo;55.975849,36.547871
Рудня;rudnya;50.79882,44.562672
Рыбинск;rybinsk;58.049999,38.833332
Ревда;revda;56.811008,59.958149
Ремонтное;remontnoe;46.565269,43.66362
Репьевка;repevka;51.07729,38.641441
Реутов;reutov;55.765011,37.873638
Ржакса;rzhaksa;52.128868,42.019459
Рязань;ryazan;54.62466,39.738571
Ряжск;ryazhsk;53.707821,40.05962
Кагальницкая;kagalnitskaya;46.881489,40.15295
Кавалерово;kavalerovo;44.268311,135.045761
Кабанск;kabansk;52.055775,106.63208
Иваново;ivanovo;56.992409,40.967789
Ивантеевка;ivanteevka;55.986912,37.96954
Лабытнанги;labytnangi;66.650665,66.416008
Казанская;kazanskaya;49.795689,41.13982
Казань;kazan;55.796539,49.1082
Казлук;kazluk;62.108921,49.329414
Карагай;karagay;58.27116,54.938831
Карабаш;karabash;55.455841,60.20385
Калач;kalach;50.42461,41.025509
Калач-на-дону;kalach-na-donu;48.690392,43.523251
Калининград;kaliningrad;54.711594,20.509972
Калуга;kaluga;54.514679,36.27142
Калтан;kaltan;53.52232,87.278084
Калязин;kalyazin;57.24469,37.83757
Лангепас;langepas;61.263542,75.211662
Канаш;kanash;55.505409,47.499531
Канск;kansk;56.20451,95.731941
Кантемировка;kantemirovka;49.694309,39.860481
Камышин;kamyshin;50.082581,45.392681
Каневская;kanevskaya;46.079369,38.969261
Каменоломни;kamenolomni;47.66843,40.2145
Каменск-Уральский;kamensk-uralskiy;56.426479,61.908489
Каменск-Шахтинский;kamensk-shakhtinskiy;48.319328,40.263828
Камень-Рыболов;kamen-rybolov;44.745392,132.03688
Кандалакша;kandalaksha;67.158028,32.420479
Касимов;kasimov;54.94421,41.40678
Кашары;kashary;49.040451,41.003471
Кашира;kashira;54.84343,38.182961
Качканар;kachkanar;58.698349,59.489391
Изобильный;izobilnyy;45.373009,41.710281
Красноармейск;krasnoarmeysk;56.106693,38.132935
Красновишерск;krasnovishersk;60.400269,57.086712
Красногорск;krasnogorsk;55.82074,37.34597
Краснознаменск;krasnoznamensk;55.599998,37.033333
Краснокамск;krasnokamsk;58.079781,55.731541
Краснокаменск;krasnokamensk;50.09005,118.032578
Красноуральск;krasnouralsk;58.348961,60.051991
Краснотурьинск;krasnoturinsk;59.763851,60.20549
Красноуфимск;krasnoufimsk;56.60775,57.772541
Краснодар;krasnodar;45.042149,38.98064
Красноярск;krasnoyarsk;56.001251,92.88559
Красный Сулин;krasnyy-sulin;47.895,40.06794
Красный Яр;krasnyy-yar;53.494171,50.40229
Иркутск;irkutsk;52.275261,104.30864
Крымск;krymsk;44.939041,37.994843
Иланский;ilanskiy;56.239937,96.071991
Кизляр;kizlyar;43.84465,46.718689
Кизел;kizel;59.043308,57.65451
Кириллов;kirillov;59.85117,38.383209
Кириши;kirishi;59.448078,32.02845
Киров;kirov;58.596081,49.662659
Кировград;kirovgrad;57.419956,60.087418
Кирово-Чепецк;kirovo-chepetsk;58.54977,50.039799
Кировск;kirovsk;59.87315,30.99581
Кировский;kirovskiy;45.095451,133.495911
Киржач;kirzhach;56.157429,38.869732
Клин;klin;56.331741,36.721649
Климовск;klimovsk;55.363586,37.526226
Иловля;ilovlya;49.304409,43.983528
Кимры;kimry;56.8773,37.342941
Линево;linevo;54.46064,83.385162
Кинель;kinel;53.218475,50.623631
Липецк;lipetsk;52.605949,39.587681
Кинешма;kineshma;57.449749,42.13208
Лиски;liski;50.981071,39.52573
Кисловодск;kislovodsk;43.923,42.7244
Киселевск;kiselevsk;54.015171,86.64064
Когалым;kogalym;62.24012,74.526901
Ковров;kovrov;56.386719,41.310871
Лобня;lobnya;56.01384,37.47438
Ипатово;ipatovo;45.717491,42.914841
Коркино;korkino;54.913631,61.43174
Королев;korolev;55.944397,37.864746
Корсаков;korsakov;46.631454,142.796524
Коряжма;koryazhma;61.316559,47.146042
Кола;kola;68.875862,33.083591
Коломна;kolomna;55.094559,38.775768
Кольчугино;kolchugino;56.306469,39.372101
Конаково;konakovo;56.69405,36.785881
Комсомольск-на-Амуре;komsomolsk-na-amure;50.538212,137.016907
Константиновск;konstantinovsk;47.58543,41.108101
Копейск;kopeysk;55.118832,61.623619
Кондопога;kondopoga;62.211479,34.26347
Лосино-Петровский;losino-petrovskiy;55.876171,38.209148
Кострома;kostroma;57.780739,40.936691
Инта;inta;66.033142,60.165611
Котово;kotovo;50.314598,44.799004
Котовск;kotovsk;52.591438,41.505241
Котельники;kotelniki;55.663799,37.858482
Котельниково;kotelnikovo;47.620949,43.14954
Инжавино;inzhavino;52.320869,42.4963
Кодинск;kodinsk;58.599998,99.183334
Йошкар-Ола;yoshkar-ola;56.637501,47.891499
Искитим;iskitim;54.640209,83.306343
Истра;istra;55.774162,37.149395
Кстово;kstovo;56.1516,44.195629
Луга;luga;58.72802,29.84717
Куанда;kuanda;56.33168,116.103592
Кузнецк;kuznetsk;53.117298,46.612091
Курагино;kuragino;53.89629,92.666702
Курган;kurgan;55.45369,65.342323
Курганинск;kurganinsk;44.888649,40.59639
Курсавка;kursavka;44.456131,42.504639
Курск;kursk;51.740261,36.184879
Курчатов;kurchatov;51.665218,35.6464
Куйбышев;kuybyshev;55.454029,78.304626
Кулебаки;kulebaki;55.415501,42.529251
Купавна;kupavna;55.745842,38.11797
Кунгур;kungur;57.42989,56.950008
Кумертау;kumertau;52.769329,55.793468
Луховицы;lukhovitsy;54.962051,39.02673
Кудымкар;kudymkar;59.009411,54.668381
Кушва;kushva;58.28857,59.755299
Лучегорск;luchegorsk;46.438591,134.301895
Кызыл;kyzyl;51.721909,94.417397
Лысково;lyskovo;56.012699,45.025341
Лысьва;lysva;58.10038,57.804329
Лыткарино;lytkarino;55.577759,37.90921
Кыштым;kyshtym;55.71859,60.549591
Левокумское;levokumskoe;44.822273,44.654617
Лебедянь;lebedyan;53.005421,39.150589
Лермонтов;lermontov;44.108204,42.95969
Лениногорск;leninogorsk;54.597561,52.458271
Ленинск;leninsk;48.702221,45.204819
Ленинск-Кузнецкий;leninsk-kuznetskiy;54.668171,86.179131
Ленск;lensk;60.72686,114.945312
Кемерово;kemerovo;55.371239,86.052437
Лесозаводск;lesozavodsk;45.483021,133.431641
Лесной;lesnoy;57.201637,60.763428
Лесосибирск;lesosibirsk;58.24205,92.464928
Летняя Ставка;letnyaya-stavka;45.424969,43.442799
Ижевск;izhevsk;56.842609,53.224449
Ишимбай;ishimbay;53.452728,56.03434
Люберцы;lyubertsy;55.683949,37.881088
п. Лесной Городок;p-lesnoy-gorodok;55.641018,37.207718
Магадан;magadan;59.55632,150.81308
Навашино;navashino;55.55175,42.191849
Павлово;pavlovo;55.961948,43.089901
Павловский Посад;pavlovskiy-posad;55.780724,38.657387
Навля;navlya;52.8195,34.483719
Магнитогорск;magnitogorsk;53.45932,59.082581
Набережные Челны;naberezhnye-chelny;55.73,52.43322
Назрань;nazran;43.216667,44.766666
Мариинск;mariinsk;56.21373,87.751587
Маркс;marks;51.70768,46.749199
Наро-Фоминск;naro-fominsk;55.383228,36.75568
Нарьян-Мар;naryan-mar;67.669144,53.082001
Малаховка;malakhovka;55.649712,38.011131
Палласовка;pallasovka;50.044819,46.893799
Майкоп;maykop;44.609138,40.113209
Малоярославец;maloyaroslavets;55.00919,36.476109
Нальчик;nalchik;43.48695,43.602989
Панино;panino;51.64584,40.140759
Обнинск;obninsk;55.100109,36.6241
Нахабино;nakhabino;55.837891,37.191662
Матвеев Курган;matveev-kurgan;47.571621,38.868889
Махачкала;makhachkala;42.972759,47.493599
Находка;nakhodka;42.781738,132.8591
Обь;ob;54.99651,82.729233
Надым;nadym;65.535423,72.543503
Озерск;ozersk;55.755791,60.71413
Орлов;orlov;58.543629,48.895679
Орловский;orlovskiy;46.877541,42.055698
Приморско-Ахтарск;primorsko-akhtarsk;46.055119,38.19413
Прокопьевск;prokopevsk;53.880951,86.727524
Протвино;protvino;54.86594,37.216572
Прохоровка;prokhorovka;51.033333,36.733334
Орск;orsk;51.21838,58.62038
Орел;orel;52.968452,36.069492
Оренбург;orenburg;51.768242,55.10371
Орехово-Зуево;orekhovo-zuevo;55.807091,38.989471
Орда;orda;57.195591,56.920021
Миасс;miass;55.032791,60.121868
Мирный;mirnyy;62.75893,40.339409
Пикалево;pikalevo;56.587704,38.502499
Миллерово;millerovo;48.92363,40.40797
Николаевск;nikolaevsk;50.021641,45.46233
Николаевск-на-Амуре;nikolaevsk-na-amure;53.1427,140.706406
Микунь;mikun;62.359806,50.068817
Минусинск;minusinsk;53.71405,91.712692
Минеральные Воды;mineralnye-vody;44.214199,43.135109
Михайловка;mikhaylovka;50.06472,43.257641
Питкяранта;pitkyaranta;61.57349,31.47897
Михнево;mikhnevo;55.12624,37.966881
Октябрьский;oktyabrskiy;54.48505,53.455421
Ольга;olga;43.74754,135.28653
Ольховатка;olkhovatka;50.286091,39.29768
Оленегорск;olenegorsk;68.1549,33.235561
Нижний Архыз;nizhniy-arkhyz;43.68412,41.482281
Нижний Новгород;nizhniy-novgorod;56.329918,44.009193
Нижний Тагил;nizhniy-tagil;57.9366,59.977249
Нижние Серги;nizhnie-sergi;56.666668,59.299999
Нижневартовск;nizhnevartovsk;60.948009,76.555847
Нижнекамск;nizhnekamsk;55.629379,51.81094
Нижнеудинск;nizhneudinsk;54.906269,99.025429
Нижняя Салда;nizhnyaya-salda;58.13065,60.9104
Нижняя Тура;nizhnyaya-tura;58.782398,59.76305
Мичуринск;michurinsk;52.900108,40.47987
Новая Усмань;novaya-usman;51.614849,39.382198
Ногинск;noginsk;55.855888,38.451519
Новоалександровск;novoaleksandrovsk;45.493282,41.216747
Нововоронеж;novovoronezh;51.306541,39.20665
Новоаннинский;novoanninskiy;50.521839,42.664371
Новороссийск;novorossiysk;44.752861,37.768311
Новокубанск;novokubansk;45.107868,41.049679
Новокузнецк;novokuznetsk;53.740749,87.113487
Новокуйбышевск;novokuybyshevsk;53.10807,49.92091
Новопавловск;novopavlovsk;43.963779,43.631699
Новониколаевский;novonikolaevskiy;50.9813,42.368629
Новомичуринск;novomichurinsk;54.033161,39.737289
Новомосковск;novomoskovsk;54.079639,38.229549
Новосибирск;novosibirsk;55.03923,82.927818
Новоуральск;novouralsk;57.25,60.083332
Новотроицк;novotroitsk;51.208981,58.303089
Новодвинск;novodvinsk;64.423447,40.820412
Новошахтинск;novoshakhtinsk;47.75872,39.933609
Новошахтинский;novoshakhtinskiy;44.027599,132.159027
Могоча;mogocha;53.75,119.739998
Новочебоксарск;novocheboksarsk;56.099987,47.496471
Новочеркасск;novocherkassk;47.421982,40.091991
Новый Рогачик;novyy-rogachik;48.668118,44.065304
Новый Оскол;novyy-oskol;50.761471,37.869511
Новый Ургал;novyy-urgal;51.073612,132.564163
Новый Уренгой;novyy-urengoy;66.094162,76.702522
Норильск;norilsk;69.330406,88.220482
Морозовск;morozovsk;48.356541,41.816929
Поронайск;poronaysk;49.21505,143.09108
Покровка;pokrovka;43.955009,131.628235
Покровское;pokrovskoe;54.646072,22.159258
Полевской;polevskoy;56.440899,60.190731
Мончегорск;monchegorsk;67.922997,32.952728
пос. Вешки;pos-veshki;55.928761,37.617352
пос. Лесной;pos-lesnoy;56.084949,37.92149
Омск;omsk;54.970901,73.393753
Можга;mozhga;56.369301,52.24929
Можайск;mozhaysk;55.504791,36.033562
Подольск;podolsk;55.432041,37.55183
Ноябрьск;noyabrsk;63.175701,75.41391
Оса;osa;57.283428,55.454708
Псков;pskov;57.824371,28.33049
Муравленко;muravlenko;63.760029,74.524429
Отрадное;otradnoe;59.771259,30.816031
Мурманск;murmansk;68.953178,33.107052
Муром;murom;55.574291,42.05151
Пулково;pulkovo;59.77021,30.344749
Путилково;putilkovo;55.863262,37.391453
Пущино;pushchino;54.841431,37.638088
Пушкино;pushkino;56.011589,37.861759
Нытва;nytva;57.940529,55.331322
Мытищи;mytishchi;55.918911,37.758419
Пыть-ях;pyt-yakh;60.74976,72.859283
Мышкин;myshkin;57.787491,38.442539
Мегион;megion;61.0504,76.113472
Невинномысск;nevinnomyssk;44.633308,41.93364
Невьянск;nevyansk;57.491871,60.207699
Первомайск;pervomaysk;54.867371,43.821091
Первоуральск;pervouralsk;56.92305,59.9422
Переславль-Залесский;pereslavl-zalesskiy;56.742111,38.864559
Нерехта;nerekhta;57.453281,40.5798
Нерюнгри;neryungri;56.671799,124.650436
Пенза;penza;53.200932,45.010422
Менделеево;mendeleevo;54.787125,20.747124
Менделеевск;mendeleevsk;55.90892,52.29187
Песьянка;pesyanka;57.320801,55.79562
Нехаевский;nekhaevskiy;50.41671,41.75946
Петрозаводск;petrozavodsk;61.7822,34.36208
Петропавловск-Камчатский;petropavlovsk-kamchatskiy;53.061562,158.622482
Нефтегорск;neftegorsk;52.802898,51.17337
Нефтекамск;neftekamsk;56.091728,54.261662
Нефтекумск;neftekumsk;44.753681,44.99028
Нефтеюганск;nefteyugansk;61.102322,72.60405
Медвежьегорск;medvezhegorsk;62.91148,34.434586
Медногорск;mednogorsk;51.407261,57.581749
Междуреченск;mezhdurechensk;53.721619,88.068817
Печора;pechora;65.144493,57.228489
Одинцово;odintsovo;55.671741,37.28109
Очер;ocher;57.881401,54.720558
Пятигорск;pyatigorsk;44.04591,43.058739
Саракташ;saraktash;51.791828,56.35215
Саранск;saransk;54.181381,45.17569
Сарапул;sarapul;56.476261,53.797562
Саратов;saratov;51.533268,46.03455
Саров;sarov;54.930145,43.337208
Салават;salavat;53.359249,55.92992
Салым;salym;60.06599,71.460327
Сальск;salsk;46.474861,41.535431
Салехард;salekhard;66.530937,66.602432
Свободный;svobodnyy;51.393631,128.123245
Сатка;satka;55.04678,58.973091
Сафоново;safonovo;55.10754,33.26759
Светлоград;svetlograd;45.335289,42.854858
Светлогорск;svetlogorsk;54.94326,20.15519
Светлый;svetlyy;54.677113,20.136379
Светлый Яр;svetlyy-yar;48.468571,44.749012
Саяногорск;sayanogorsk;53.089642,91.415703
Средняя Ахтуба;srednyaya-akhtuba;48.70887,44.874191
Сибай;sibay;52.710079,58.6637
Славянка;slavyanka;42.870541,131.371567
Славянск-на-Кубани;slavyansk-na-kubani;45.256371,38.12487
Сковородино;skovorodino;53.984261,123.948349
Собинка;sobinka;55.984291,39.987511
Спасск-Дальний;spassk-dalniy;44.597721,132.825012
Совхоз имени Ленина;sovkhoz-imeni-lenina;55.58604,37.732506
Советск;sovetsk;55.071774,21.882612
Советская Гавань;sovetskaya-gavan;48.970188,140.291306
Советский;sovetskiy;61.366711,63.543209
Сортавала;sortavala;61.71196,30.702841
Соликамск;solikamsk;59.63625,56.766788
Солнечная Долина;solnechnaya-dolina;56.040054,60.727829
Солнечногорск;solnechnogorsk;56.18457,36.978432
Смоленск;smolensk;54.781101,32.048889
Сосновоборск;sosnovoborsk;56.13406,93.383247
Сосновый Бор;sosnovyy-bor;59.893131,29.09503
Снежинск;snezhinsk;55.891819,60.763729
Сочи;sochi;43.611599,39.722488
Ставрополь;stavropol;45.039131,41.98214
Старая Русса;staraya-russa;57.98967,31.35219
Старая Купавна;staraya-kupavna;55.806896,38.17889
Старая Полтавка;staraya-poltavka;50.476788,46.481148
Старая Чара;staraya-chara;56.904449,118.250237
Старый Оскол;staryy-oskol;51.304901,37.856892
Суворов;suvorov;54.12516,36.49942
Сургут;surgut;61.25716,73.400993
Стрежевой;strezhevoy;60.739071,77.550377
Сходня;skhodnya;55.945259,37.309227
Сухой Лог;sukhoy-log;56.895988,62.027569
Ступино;stupino;54.898361,38.08672
Стерлитамак;sterlitamak;53.622341,55.957581
Степное;stepnoe;44.272747,44.574913
Сызрань;syzran;53.173111,48.46928
Сыктывкар;syktyvkar;61.681862,50.812771
Сысерть;sysert;56.502602,60.807339
Северобайкальск;severobaykalsk;55.63438,109.325317
Северодвинск;severodvinsk;64.566879,39.846809
Северск;seversk;56.599998,84.849998
Сегежа;segezha;63.743439,34.30312
Сергач;sergach;55.527538,45.4632
Сергиев Посад;sergiev-posad;56.310749,38.133041
Серов;serov;59.598202,60.588459
Серпухов;serpukhov;54.920609,37.416901
Сертолово;sertolovo;60.145821,30.21096
Серебряные Пруды;serebryanye-prudy;54.469761,38.720928
Селятино;selyatino;55.514584,36.976055
Семикаракорск;semikarakorsk;47.513962,40.811501
Семенов;semenov;56.792542,44.501011
Сестрорецк;sestroretsk;60.083229,29.95672
Хабаровск;khabarovsk;48.476719,135.09407
Таганрог;taganrog;47.221729,38.893318
Тарасовский;tarasovskiy;48.730179,40.368568
Тарко-сале;tarko-sale;64.919746,77.78817
Тайга;tayga;56.061272,85.622787
Углич;uglich;57.524689,38.332821
Таксимо;taksimo;56.339352,114.892342
Тайшет;tayshet;55.934219,97.991211
Тамбов;tambov;52.7211,41.417351
Ханты-Мансийск;khanty-mansiysk;61.00079,69.006241
Хасавюрт;khasavyurt;43.246769,46.58939
Татищево;tatishchevo;51.67215,45.598061
Тверь;tver;56.857929,35.923828
Увельский;uvelskiy;54.436146,61.37653
Таштагол;tashtagol;52.766048,87.876198
Урай;uray;60.133301,64.80909
Фролово;frolovo;49.76931,43.656818
Троицк;troitsk;55.49654,37.318432
Трудовое;trudovoe;43.301418,132.085281
Урень;uren;57.460781,45.784988
Трехгорный;trekhgornyy;54.799999,58.450001
Урюпинск;uryupinsk;50.80294,42.029491
Фрязино;fryazino;55.95694,38.057911
Фрязево;fryazevo;55.731197,38.468552
Улан-Удэ;ulan-ude;51.840839,107.608093
Хилок;khilok;51.353889,110.46244
Тимашевск;timashevsk;45.61692,38.9431
Химки;khimki;55.88781,37.44418
Тихвин;tikhvin;59.63821,33.515999
Тихорецк;tikhoretsk;45.85318,40.128288
Ульяновск;ulyanovsk;54.32148,48.385651
Тобольск;tobolsk;58.184097,68.254623
Хороль;khorol;44.425419,132.073868
Фокино;fokino;42.970631,132.406738
Холмск;kholmsk;47.062469,142.06131
Тольятти;tolyatti;53.535561,49.409569
Топки;topki;55.272007,85.614502
Томилино;tomilino;55.653099,37.949669
Томск;tomsk;56.463989,84.962547
Тосно;tosno;59.540291,30.88051
Унеча;unecha;52.848701,32.67046
Усинск;usinsk;66.009308,57.547401
Уссурийск;ussuriysk;43.816299,131.989365
Усть-Катав;ust-katav;54.93565,58.176769
Усть-Илимск;ust-ilimsk;58.031475,102.817848
Усть-Кинельский;ust-kinelskiy;53.268551,50.568352
Усть-Кут;ust-kut;56.798019,105.765572
Уфа;ufa;54.7355,55.991982
Туапсе;tuapse;44.103458,39.074699
Тула;tula;54.196678,37.617828
Туймазы;tuymazy;54.601742,53.725471
Ухта;ukhta;63.569611,53.672981
Тутаев;tutaev;57.615654,39.784031
Тымовское;tymovskoe;50.850788,142.660172
Тында;tynda;55.149879,124.722473
Терней;terney;45.042881,136.604675
Тейково;teykovo;56.855049,40.532669
Темрюк;temryuk;45.279758,37.38089
Удомля;udomlya;57.872669,35.007809
Тюмень;tyumen;57.154949,65.51564
Учалы;uchaly;54.302628,59.424255
